Location,COCO,Weather Condition,Flight Count,Average Delay (min),Maximum Delay (min),Flights with Delay (%)
Origin,1,Clear,4824892,0.396863183673334,1706.0,0.5957231788815169
Origin,2,Fair,69084,0.6197961901453303,1060.0,0.8887730878350992
Origin,3,Cloudy,44731,0.6178265632335517,1105.0,1.001542554380631
Origin,4,Overcast,27884,0.8066991823267824,1387.0,1.0902309568211161
Origin,5,Fog,10144,0.601044952681388,1347.0,0.7689274447949527
Origin,7,Light Rain,23928,0.4240220661985958,918.0,0.710464727515881
Origin,8,Rain,11537,0.4157059894253272,715.0,0.5807402270954322
Origin,9,Heavy Rain,445,0.9775280898876404,110.0,3.146067415730337
Origin,10,Freezing Rain,193,0.49740932642487046,96.0,0.5181347150259068
Origin,12,Sleet,165,0.7212121212121212,27.0,4.242424242424243
Origin,13,Heavy Sleet,1,0.0,0.0,0.0
Origin,14,Light Snowfall,2144,1.4640858208955223,1393.0,2.0988805970149254
Origin,15,Snowfall,21,0.0,0.0,0.0
Origin,16,Heavy Snowfall,10,0.0,0.0,0.0
Origin,17,Rain Shower,342,0.21052631578947367,36.0,0.8771929824561403
Origin,18,Heavy Rain Shower,5123,0.22896740191294163,222.0,0.5270349404645716
Origin,25,Thunderstorm,1487,0.3073301950235373,136.0,0.605245460659045
Origin,26,Heavy Thunderstorm,266,1.3270676691729324,189.0,0.7518796992481203
Dest,1,Clear,4876183,0.39876251568081017,1706.0,0.6016181099027662
Dest,2,Fair,57638,0.636489815746556,1060.0,0.8345188937853499
Dest,3,Cloudy,30320,0.41391820580474936,664.0,0.5672823218997362
Dest,4,Overcast,16755,1.1737988660101462,1393.0,1.0981796478663086
Dest,5,Fog,12982,0.5452934832845479,1160.0,0.7934062548143583
Dest,7,Light Rain,17789,0.4986227443926022,715.0,1.0174827140367644
Dest,8,Rain,3558,0.6405283867341203,719.0,0.9555930297920181
Dest,9,Heavy Rain,623,0.6131621187800963,153.0,1.1235955056179776
Dest,10,Freezing Rain,135,1.1481481481481481,106.0,2.2222222222222223
Dest,12,Sleet,325,0.12615384615384614,41.0,0.3076923076923077
Dest,14,Light Snowfall,4216,0.49644212523719167,740.0,0.5692599620493358
Dest,15,Snowfall,205,0.2146341463414634,27.0,0.975609756097561
Dest,16,Heavy Snowfall,43,0.0,0.0,0.0
Dest,17,Rain Shower,318,0.0,0.0,0.0
Dest,18,Heavy Rain Shower,665,0.18796992481203006,53.0,0.4511278195488722
Dest,21,Snow Shower,153,0.0,0.0,0.0
Dest,25,Thunderstorm,449,0.5412026726057907,243.0,0.22271714922048996
Dest,26,Heavy Thunderstorm,40,0.0,0.0,0.0
